p,rp
100.0,1.6142819678391849
93.26033468832199,1.5903100217925568
86.97490026177834,1.5665152636978235
84.19268173430629,1.5556761439304723
81.11308307896873,1.5439908138847682
75.64633275546291,1.5213070591146305
70.54802310718645,1.4988354320369377
67.59441494031093,1.484968262254465
65.79332246575683,1.4767867810998703
61.35907273413176,1.455374821399111
57.2236765935022,1.4341666925897152
54.168672199489194,1.4174741629268055
53.366992312063125,1.4132292280728074
49.77023564332114,1.3929730870651986
46.41588833612782,1.3729106536904283
43.296613486223606,1.3530477745798075
43.287612810830566,1.3529921158041254
40.37017258596554,1.333713514121122
37.64935806792467,1.3146278126045758
35.111917342151315,1.2956506961835523
34.5987290391235,1.291549665014884
32.74549162877728,1.2771937359508572
30.538555088334157,1.2589917865049651
28.48035868435802,1.2409285493989592
27.619559135003925,1.2328467394420666
26.560877829466868,1.2231966967812031
24.770763559917114,1.2058542830368009
23.101297000831604,1.1886820254134374
22.01949303077155,1.1768119524349985
21.544346900318846,1.1717407727166476
20.09233002565048,1.155177968102094
18.73817422860385,1.13848105725767
17.60811105584785,1.1233240329780276
17.475284000076847,1.1215908257406837
16.297508346206453,1.1050060508974393
15.199110829529332,1.0887828900799386
14.174741629268048,1.0730983608564097
14.123370681177132,1.0722672220103238
13.219411484660288,1.0580611302535259
12.32846739442066,1.0432183822396663
11.497569953977356,1.0285236651468388
11.234344625184082,1.0235310218990263
10.722672220103231,1.0140895878934075
10.0,0.9999400371550138
9.326033468832199,0.9859311002865715
8.923526621558164,0.9770099572992255
8.697490026177835,0.9721297128798665
8.111308307896872,0.9586971083882472
7.56463327554629,0.9454104582803424
7.070369043393069,0.9326033468832199
7.054802310718645,0.9322099713204574
6.579332246575683,0.9193795611640976
6.1359072734131725,0.9064453180398726
5.722367659350217,0.8934201365470366
5.6239161141820375,0.8902150854450388
5.33669923120631,0.881103421688062
4.977023564332112,0.8689796068657955
4.641588833612779,0.8569728420737903
4.4522556812251155,0.8497534359086445
4.328761281083059,0.8451602032290513
4.037017258596556,0.8336025982108939
3.764935806792468,0.8221769445810398
3.51832494725404,0.8111308307896872
3.511191734215131,0.8108189573865099
3.2745491628777286,0.7997481947716056
3.0538555088334154,0.7887687505274193
2.848035868435802,0.7778791929021152
2.7846319762056777,0.7742636826811272
2.656087782946687,0.7671314179202584
2.4770763559917115,0.7565203449960027
2.31012970008316,0.7459360907826666
2.2100793874012927,0.739072203352578
2.1544346900318843,0.7353572884385522
2.009233002565047,0.724883146575386
1.8738174228603839,0.7143611486565008
1.7684330956114458,0.7054802310718644
1.7475284000076838,0.7037656306982393
1.6297508346206444,0.6933250098449489
1.5199110829529339,0.6829042015510135
1.4273935287283088,0.6734150657750824
1.4174741629268053,0.6724238193544269
1.321941148466029,0.6621345598609394
1.232846739442066,0.6518267989696224
1.1604400059631794,0.6428073117284322
1.1497569953977353,0.6415095653667768
1.072267222010323,0.6313921825842768
1.0,0.62133278086143
0.9482802637886076,0.6135907273413174
0.9326033468832199,0.6113032016935586
0.8697490026177834,0.6014637885174375
0.8111308307896873,0.5916640042533422
0.7778952580850353,0.5857020818056667
0.7564633275546289,0.5819573467777627
0.7054802310718644,0.5724440013560296
0.6579332246575681,0.5629660817658635
0.6398362658968701,0.5590810182512224
0.6135907273413173,0.5536008677926326
0.5722367659350217,0.5443999073197991
0.533669923120631,0.5352341150157025
0.5275481144391704,0.533669923120631
0.49770235643321115,0.5262704247641775
0.464158883361278,0.5174230060737786
0.43577726141450374,0.5094138014816381
0.43287612810830584,0.5086156306820159
0.40370172585965547,0.500031969512484
0.3764935806792468,0.4915495898290407
0.3606528083876584,0.4862601580065355
0.3511191734215131,0.48316256296599913
0.32745491628777285,0.4749631203876837
0.30538555088334157,0.46682700973167823
0.298650148844531,0.464158883361278
0.2848035868435802,0.45883488315131604
0.26560877829466867,0.45100041143549974
0.24770763559917108,0.4432250441965837
0.2473590813435754,0.4430621457583881
0.23101297000831597,0.4356640263389391
0.2154434690031884,0.42817647409932924
0.2052448542117917,0.42292428743894983
0.2009233002565047,0.42076002562390236
0.18738174228603838,0.41353302855772434
0.17475284000076838,0.40638255856045324
0.17033853711188482,0.40370172585965547
0.16297508346206444,0.3993636699072899
0.1519911082952934,0.3924926334161636
0.1417474162926805,0.38567543151789646
0.14129685510559717,0.38535285937105296
0.1321941148466029,0.3790463146776736
0.12328467394420664,0.37250958722149113
0.11732496467741371,0.3678379771828635
0.11497569953977356,0.36604808484891693
0.1072267222010323,0.3597577571409799
0.1,0.35353421491290626
