KOI,logAiso,E_logAiso,e_logAiso,a3,loc3,scale3,a5,loc5,scale5
K00111,10.12,0.02,0.03,-5.4392706358933935,10.147696266737823,0.04106286709348084,-1.5413044263487308,10.138945133620854,0.03381932490212114
K00112,9.5,0.29,0.48,0.0008126404514854357,9.43641527203943,0.3871452881609564,-1.8225008553974504,9.809234196103057,0.5424275908776715
K00115,9.63,0.14,0.2,-3.914573027073388,9.814479931960026,0.2736372602184678,-1.4092117779810849,9.754294942688903,0.22503298095792656
K00116,9.78,0.12,0.15,-2.321426603226456,9.914545967922862,0.20252136176699365,-1.0595365968639925,9.866049438117155,0.16726700744187406
K00117,9.63,0.07,0.06,1.8018029874357495,9.570296852144494,0.0923637408538922,0.874946499868031,9.59297383653734,0.07741100607611895
K00118,9.95,0.05,0.05,9.447722959521343e-08,9.9499999962099,0.050278650151194926,-0.0009548008136732733,9.950039114907623,0.051346564857330024
K00122,9.92,0.06,0.1,-24.264941743735235,10.008050117048727,0.13331421382009423,-1.8431932186402662,9.98448369070581,0.11301874328184514
K00123,9.88,0.06,0.06,8.305971732625039e-08,9.879999996001517,0.06033438018143311,0.0002176402975351266,9.87998928362852,0.061615844554753774
K00124,9.88,0.06,0.07,-1.8018029874314152,9.939703147855438,0.09236374085384147,-0.8749504641858294,9.917026378636379,0.07741107197006636
K00127,9.18,0.31,0.36,-1.7689587719790723,9.485483747055307,0.473947807638774,-0.8621229848795906,9.369053750292966,0.397833062235073
K00128,9.87,0.08,0.09,0.000955614173790309,9.866601495557585,0.08547372988456714,-0.7710701836385141,9.914565630847779,0.09890581399804133
K00134,9.38,0.05,0.06,-2.005687526472528,9.432502910594343,0.0800859977348467,-0.9515937968666748,9.412979335347224,0.06660829895509646
K00135,9.51,0.07,0.1,-3.9145730270742263,9.602239965980015,0.13681863010923623,-1.4092123693617964,9.572147506823617,0.11251650246063627
K00137,9.31,0.28,0.73,-35.84641421411257,9.808770540489807,0.8531011135092972,-3.6098011853109853,9.775434915811044,0.823476975851996
K00139,9.36,0.16,0.41,-26.093356419473963,9.64262830656417,0.4812214204030729,-3.5198082269435247,9.621943493632287,0.46263546332629213
K00142,9.27,0.31,0.8,-25.502345009334064,9.819469177660991,0.9372999806135611,-3.5562977338985036,9.780688385073747,0.9025974256437462
K00144,9.33,0.39,0.57,95.18742272422585,8.68038667927409,0.7753123008197029,-1.4704945332136248,9.68712230405605,0.6419592363761352
K00145,9.38,0.14,0.12,1.8018029874356785,9.260593704288993,0.18472748170778042,0.8749472494294537,9.305947591686063,0.1548220371362783
K00148,9.43,0.25,0.24,0.9382722200345484,9.273877500625067,0.2950864587102068,0.500591878609427,9.337611390881213,0.2684146612095859
K00149,9.86,0.03,0.03,0.01683717852954203,9.859594752863742,0.030169911935177263,0.10350047870626611,9.857449871810342,0.030912057634028045
K00150,10.11,0.02,0.05,-25.100470735387788,10.144911432286683,0.059056308088453635,-3.395182864890728,10.142033569686351,0.056441438908236385
K00152,9.12,0.25,0.16,31.39293359303545,8.890761078824745,0.34088633579605787,1.6551933468081756,8.960539307809166,0.28216881378802683
K00153,9.67,0.31,0.46,-4.94927207602683,10.09465648093732,0.6296166728635526,-1.5116828290117468,9.959582192298157,0.5183674768390424
K00155,10.04,0.03,0.03,1.2790104619853082e-07,10.039999996921429,0.03016719009071589,-0.002549017444692936,10.040062657324356,0.03080799396285694
K00157,9.81,0.11,0.14,-2.473176691894281,9.936530311553344,0.18969470679471567,-1.1065636928405524,9.89154756307612,0.15637307156527225
K00159,9.62,0.12,0.16,-2.923090103470088,9.766482348147333,0.2181260049881204,-1.2275977132105993,9.71621804219839,0.17934507427641
K00161,8.97,0.58,0.2,38.18962649847251,8.594191011670345,0.6607305831558099,4.221820736523043,8.605371819137131,0.6529653316674089
K00166,9.94,0.15,0.27,-33.55417465192929,10.166798965722151,0.3508274197667247,-2.0829620274144247,10.115325355804401,0.3054115893115793
K00167,9.51,0.05,0.08,-25.888195015283713,9.582262819566814,0.10817153155632697,-1.723050909407661,9.561264322864766,0.09034518684537274
K00168,9.96,0.04,0.04,1.2071789967649238e-07,9.95999999612577,0.04022292012095374,-0.116432209897539,9.963827359133465,0.04125251819179088
K00171,9.5,0.08,0.06,2.9230901034692494,9.426758825926338,0.10906300249405365,1.227591534901947,9.451891271665055,0.08967243412805448
K00172,10.12,0.01,0.02,-21.691246534902803,10.1357872967293,0.025142681717005955,-2.4456619542061446,10.1330106432547,0.022626931068534972
K00173,10.05,0.05,0.06,-2.0056875264726557,10.102502910594342,0.08008599773484781,-0.9515929125989686,10.082979296052752,0.0666082867434652
K00174,10.14,0.0,0.02,-22.158691692600655,10.146673671950866,0.01754188452819927,-99.99999898067806,10.146255072333002,0.02087396904505412
K00176,9.67,0.06,0.07,-1.8018029874356785,9.729703147855503,0.09236374085388943,-0.8749446361907616,9.707026062017414,0.0774109749981895
K00179,9.33,0.04,0.04,1.2517951120116777e-07,9.329999995982583,0.040222920120954186,-0.07283086493869462,9.332389805346168,0.04114628957933453
K00180,8.87,0.61,0.44,3.409410454148869,8.308462418111194,0.8337921366075879,1.329707860929787,8.495638239881803,0.6853436424834063
K00186,9.33,0.26,0.38,-4.450380348767752,9.680742747650445,0.5200751109735915,-1.4704951338942607,9.568081626107858,0.42797285025066445
K00191,9.67,0.22,0.34,-12.65790053302149,9.983895736099733,0.46538251472091263,-1.6242483244885761,9.886342853114744,0.38363667600242624
K00193,10.07,0.04,0.06,-5.43927063589426,10.125392533475651,0.08212573418696378,-1.5412951532649828,10.107890006188097,0.06763857205670831
K00195,9.97,0.11,0.16,-4.321238769105591,10.117667576708865,0.2189693289684469,-1.4575444485154634,10.070083683095756,0.18016460605717033
K00197,9.63,0.31,0.56,-33.06012102146573,10.099385231159406,0.7267975245454756,-2.094582285538621,9.993708443728297,0.6334609662493207
