KOI,logAiso,E_logAiso,e_logAiso,a3,loc3,scale3,a5,loc5,scale5
K00490,9.66,0.3,0.34,-1.5965885164826688,9.939334247133338,0.44143785176471184,-0.7927645596355433,9.83095655559577,0.3741748952619619
K00500,9.5,0.4,0.73,-65.15933676574149,10.10813405343783,0.9443107017736129,-2.128010838560229,9.974356104889445,0.8258102806558691
K00505,8.9,0.48,0.49,-0.7126666974101425,9.150179125893246,0.5511126434559985,-0.3915356752161614,9.047876704036943,0.5197339878449289
K00508,9.2,0.31,0.43,71.20622727600139,8.704672156183651,0.5987335526645705,-1.3311001027554,9.463958293463183,0.48312463338466416
K00509,9.38,0.29,0.52,-27.291727900465077,9.817810640159369,0.6765121656399835,-2.0705439270340946,9.717589282944923,0.5881845517613198
K00510,9.43,0.23,0.39,-24.949533022188135,9.769750008992185,0.5168851178788043,-1.8953152761905159,9.682007597511593,0.44088560162251345
K00511,9.45,0.19,0.3,-25.870090633239926,9.723263979969254,0.40754344315819346,-1.6849877444799972,9.641763055131108,0.33869111572079114
K00517,8.99,0.45,0.54,-2.0056875264724567,9.462526195349053,0.7207739796136019,-0.9515993138575283,9.286816235087151,0.5994753807748485
K00519,9.96,0.07,0.08,-1.655739785587798,10.02653531294056,0.10440863594400618,-0.8169410060760072,10.000876235082748,0.08817440932800946
K00520,9.39,0.34,0.53,-31.425808939279563,9.876715603053375,0.7232870958689561,-1.648522741592032,9.727885827431997,0.5981609727053421
K00523,10.07,0.04,0.04,1.1835416557914868e-07,10.06999999620163,0.0402229201209553,-0.0832628103513855,10.0727330901857,0.041167363760648
K00528,9.96,0.11,0.17,-12.65790053310323,10.116947868049868,0.23269125736045615,-1.6242515455642064,10.068171677477649,0.19181842054262155
K00534,9.24,0.41,0.37,1.4359542015399,8.916559483195647,0.5235498695823588,0.7252394945006984,9.0440483995692,0.4491290198623379
K00543,9.81,0.22,0.34,-12.657900532973514,10.123895736099731,0.4653825147209103,-1.6242397547945018,10.02634151469108,0.3836362359794986
K00546,9.72,0.08,0.08,0.016400278729690854,9.718947379439857,0.080452726745051,0.0834331377266011,9.714522780051722,0.08233544334959164
K00548,9.84,0.06,0.07,-1.8018029874355364,9.8997031478555,0.09236374085388932,-0.8749427616805576,9.877025947791624,0.07741095037946621
K00550,9.09,0.36,0.53,-4.669954074512091,9.579243987674065,0.7254036139269902,-1.490230043715286,9.422842502648074,0.5970767385744307
K00551,9.75,0.14,0.22,-30.41240304811079,9.951001160641457,0.29937191173992495,-1.6713691918425297,9.890491225040602,0.24834427263095082
K00555,9.67,0.24,0.39,-28.863828051961107,10.018863635584275,0.5244859167014126,-1.768160460793382,9.920569547346282,0.440574682369713
K00561,9.97,0.13,0.23,-25.565422352101905,10.165224369432547,0.30054205398667755,-2.027586644215603,10.119189236814137,0.2601313629219413
K00564,9.63,0.08,0.06,2.9230901034689225,9.556758825926343,0.10906300249405132,1.22759946794568,9.581890871557508,0.08967257928462857
K00567,9.47,0.29,0.44,-6.208608834049045,9.876217453714565,0.602259328007525,-1.57283675217748,9.748716066850776,0.4962000967624167
K00568,9.71,0.21,0.4,-27.600718603871016,10.034859594185306,0.5104544643530406,-2.272204853297495,9.97024077223615,0.45255977984543483
K00569,9.65,0.32,0.7,-25.814895905249784,10.175214581151323,0.8571915252507291,-2.7930008518955844,10.103726065261807,0.7915078842821186
K00572,9.81,0.05,0.11,-24.475939744953607,9.892273324895603,0.13448435466689412,-2.816491066027254,9.881274368187768,0.1243733254459033
K00573,9.62,0.18,0.28,-29.126684000501726,9.877476681860145,0.38240076005284407,-1.6425822811861934,9.798423043550578,0.3159915913803044
K00574,9.6,0.34,0.48,-3.6956941110514805,10.042482590163182,0.6565378015814314,-1.3777099634799157,9.896913996484464,0.5397824075243022
K00577,9.89,0.17,0.28,-27.344314913898913,10.138363055406414,0.37479996103312374,-1.8078985662068874,10.070262728570789,0.316389337068927
K00579,9.17,0.34,0.49,-4.099538724805868,9.622122363135256,0.6705155736228964,-1.4327167075400808,9.4755162256381,0.5515426752526508
K00582,9.0,0.45,0.47,-0.9637042733664174,9.298760557335545,0.5575658772477532,-0.5125345463617066,9.176885821214434,0.5052476765844374
K00584,9.47,0.24,0.41,-24.008833121427458,9.825537303495548,0.5420277968258383,-1.918100609352308,9.735141078454872,0.46354018234021677
K00590,9.21,0.29,0.44,-6.20860883404896,9.616217453714562,0.6022593280075235,-1.572844911340482,9.488717751389846,0.49620064960453003
K00597,9.79,0.14,0.22,-31.185570930454972,9.991001160561012,0.29937191163438415,-1.6713754687106785,9.930491839096803,0.248344474801533
K00598,9.34,0.39,0.5,94.41286561145495,8.754182091656592,0.722106671806864,-1.1255682891468126,9.632898496749384,0.5588214031463432
K00600,10.02,0.06,0.07,-1.8018029874358348,10.079703147855508,0.0923637408538932,-0.8749510206684334,10.057026409087197,0.07741108129070273
K00601,8.89,0.32,0.44,-3.294566801019755,9.294700064689042,0.6011794346352848,-1.308060542986695,9.158984675306964,0.4941244962308856
K00611,9.1,0.18,0.41,-25.688863749682568,9.400855550614036,0.496423011044833,-2.963644710849806,9.364998935674356,0.46340559980020213
K00612,9.49,0.32,0.24,-69.27815810687088,9.861720101452024,0.45372816904206625,1.2276069939089638,9.297562077379872,0.3586907432904862
K00620,9.02,0.3,0.52,-26.07063307299822,9.466924260366818,0.6841129565717434,-1.9630323607633215,9.356745764634388,0.5880053049509766
K00623,10.06,0.04,0.05,-2.3214266032266977,10.10484865597429,0.06750712058900044,-1.059534799245398,10.088683083504712,0.05575564933303523
K00624,8.71,0.57,0.32,26.461317412688004,8.228164311178201,0.7431692595379611,2.0492037945207358,8.340102636883879,0.6447086157835785
K00626,9.82,0.07,0.08,-1.655739785587869,9.886535312940559,0.10440863594400773,-0.8169428237101783,9.860876254046527,0.08817441456389474
K00627,9.58,0.07,0.07,0.014765212846910458,9.57917077431307,0.07039499442495134,-0.00212904443785078,9.58012211308825,0.07188527488571361
K00628,10.07,0.05,0.08,0.008668547440464636,10.059547930966595,0.06536375260079053,-1.7230520448717783,10.121264358778102,0.0903451987477153
K00629,9.96,0.05,0.05,9.636205788865482e-08,9.959999996134286,0.05027865015119537,0.11057099721409713,9.95545788562672,0.05154440603150834
K00632,9.24,0.18,0.59,-26.842855581142445,9.600918596431038,0.6542999651771246,-5.075355644511561,9.604094291684614,0.6624967190246412
K00633,10.07,0.04,0.04,1.1835416557914868e-07,10.06999999620163,0.0402229201209553,-0.0832628103513855,10.0727330901857,0.041167363760648
K00635,9.22,0.24,0.31,-76.4505067261476,9.542168950475773,0.45431838332533736,-1.1450063864624838,9.40260397100522,0.3466798656374296
K00638,9.24,0.36,0.34,1.0855297822457146,8.993510372115097,0.4368750732254836,0.5693321363240216,9.093429636682444,0.38920461779321247
K00639,9.42,0.14,0.2,-3.9145730270734447,9.604479931960025,0.273637260218468,-1.4092098007618858,9.544294739050706,0.22503291494534772
K00644,10.09,0.03,0.04,-2.9230901034699315,10.126620587036832,0.0545315012470271,-1.2275998274345028,10.114054563117435,0.044836285590782676
K00645,9.91,0.03,0.03,1.6063610530636652e-07,9.9099999961335,0.03016719009071611,0.1081780819467042,9.907333963405563,0.030921612341756166
K00647,9.92,0.04,0.04,0.021788841059162678,9.919300790780976,0.040228997135189015,-0.09390442028319512,9.92308367734753,0.04119171619712214
K00649,9.33,0.04,0.04,1.2517951120116777e-07,9.329999995982583,0.040222920120954186,-0.07283086493869462,9.332389805346168,0.04114628957933453
K00650,9.8,0.22,0.32,-4.32123876910498,10.095335153417723,0.4379386579368897,-1.4575440831854962,10.000167306844087,0.36032919282191234
K00654,9.6,0.18,0.26,-4.151041906243194,9.839918004753946,0.3557954049542069,-1.438793634022801,9.762241966612613,0.2926832956639329
K00655,9.61,0.09,0.1,-1.4554783285182253,9.689329339639414,0.12797992336886976,-0.7335901834949397,9.658118716477379,0.10961001866874998
K00657,9.9,0.18,0.37,-23.767949985954147,10.18750820554971,0.46133924039078655,-2.5476979906027992,10.140535957238143,0.4185530847287251
K00658,9.25,0.27,0.39,-4.151041906243009,9.609877007130919,0.5336931074313087,-1.4387922843977066,9.493362758703292,0.4390248851159787
K00659,9.46,0.12,0.14,-1.8018029874356785,9.57940629571101,0.18472748170777975,-0.8749509036004497,9.534052796147126,0.1548221666819758
K00660,9.86,0.03,0.03,0.01683717852954203,9.859594752863742,0.030169911935177263,0.10350047870626611,9.857449871810342,0.030912057634028045
K00661,9.15,0.27,0.33,-2.1437244739006474,9.442434657611912,0.4430368151950699,-1.0004316033591323,9.33519795346871,0.3671338764486777
K00662,9.9,0.04,0.04,1.189563789694148e-07,9.899999996182304,0.0402229201209543,-0.1221506214806709,9.904016654221707,0.04127000143489856
K00664,9.92,0.09,0.11,-2.1437244739006616,10.017478219203973,0.14767893839835722,-1.0004385170075523,9.981733203934189,0.12237813273465226
K00665,9.56,0.05,0.06,-2.0056875264724283,9.61250291059434,0.08008599773484548,-0.9515915257527183,9.592979241164283,0.06660827079756693
K00666,9.62,0.2,0.33,-25.794080683442743,9.912388113972126,0.4414570679991521,-1.8131869590071403,9.832505471159745,0.3728987924379402
K00670,9.96,0.03,0.04,-2.9230901034659524,9.996620587036826,0.054531501247023106,-1.2276000399086797,9.984054568277214,0.04483628721577071
K00671,9.67,0.09,0.1,0.006063462229974448,9.66620458976126,0.09553050466522428,-0.7335857357034286,9.71811834784026,0.10960991025041422
K00672,9.29,0.31,0.49,-40.42049073152217,9.736027380271514,0.6654009308900721,-1.688062057784549,9.603279376456147,0.5532098572970034
K00673,9.17,0.16,0.2,-2.3214266032266124,9.349394623897158,0.2700284823559965,-1.0595324171132035,9.284732002937911,0.22302249238944383
K00674,9.78,0.08,0.06,2.9230901034694057,9.70675882592634,0.1090630024940542,1.2275950042758552,9.731891048173157,0.08967251959108369
K00678,8.96,0.41,0.56,-3.206921882291681,9.47466114410926,0.7648445260815588,-1.2905512675316828,9.301216301657814,0.6286471282790168
K00679,9.71,0.1,0.07,3.914573027073189,9.61776003401999,0.13681863010923268,1.4092112820602836,9.64785255197595,0.11251648326192631
K00680,9.42,0.12,0.05,24.209748848190785,9.33438983749311,0.1432552990209438,3.1988298389275798,9.34279485678432,0.1355411778397443
K00682,9.51,0.21,0.33,-28.55313160179847,9.811501740908763,0.4490578675438637,-1.6713751352592965,9.720737709887638,0.3725166961103039
K00683,9.37,0.23,0.28,-2.1134704003187323,9.617507649718025,0.3754763087035311,-0.9899475642944537,9.526471968199527,0.3113697588209591
K00684,9.89,0.02,0.02,1.5321155899528094e-07,9.889999997541473,0.020111460060477038,0.0009175795530325104,9.889984961000271,0.020538624403136918
K00685,9.38,0.04,0.04,0.015210545942778708,9.37951186646022,0.04022588198870625,-0.09586965173225792,9.383148458390373,0.04119651971222582
K00686,10.02,0.07,0.09,-2.5632800640260456,10.101630717042237,0.12215203275925057,-1.1329922248004607,10.072834890604463,0.10061151304442606
K00688,9.64,0.09,0.07,2.563280064026131,9.558369282957763,0.1221520327592499,1.1329836737331789,9.587165612187226,0.10061134534307581
K00689,10.11,0.03,0.06,-23.550375289057612,10.157361894728524,0.07542804949968529,-2.44566194945979,10.149031929237083,0.06788079297438321
K00691,10.0,0.03,0.04,-2.9230901034691783,10.036620587036827,0.054531501247025105,-1.2275999796698187,10.024054564872724,0.04483628804534889
K00692,9.87,0.1,0.12,-2.0056875264723715,9.975005821188676,0.1601719954696872,-0.951596123526528,9.935958877952228,0.13321666240208252
K00693,9.73,0.07,0.09,-2.5632800640263724,9.811630717042242,0.12215203275925268,-1.1329934044415069,9.78283496133003,0.10061153578638793
K00694,8.88,0.45,0.46,-0.7305669581556202,9.11947383279408,0.5194450446387648,-0.4003043301390363,9.021488152071017,0.48840695742970874
K00695,10.08,0.04,0.07,-21.06355801940323,10.13981258867279,0.09179998226703656,-1.9929985495152067,10.125367983245862,0.0791624430494915
K00700,10.09,0.04,0.07,-26.36101917892894,10.149812356920004,0.09179979009088779,-1.9929975925756906,10.135367959469832,0.07916243524464606
K00701,10.03,0.09,0.21,-28.039203071707618,10.182096193312107,0.25259697565019823,-3.069915370688264,10.165460087079259,0.23728557082480983
K00703,9.25,0.04,0.05,-2.3214266032269677,9.29484865597429,0.06750712058899988,-1.0595364155645939,9.278683139609749,0.05575566711377744
K00704,9.4,0.28,0.63,-25.474050643037288,9.865402191341818,0.765391706505395,-2.9108744776450237,9.807573479011136,0.7121585433892405
K00707,9.68,0.11,0.06,22.410525660246677,9.58861304991822,0.14208515356573748,2.1430264916427717,9.608508178392253,0.12443985135898927
K00708,9.71,0.07,0.08,-1.6557397855876843,9.776535312940556,0.10440863594400496,-0.8169517983645704,9.750876923091504,0.0881746166681392
K00709,10.01,0.09,0.14,-24.554127358179983,10.138738340456591,0.19120037963112613,-1.6425899329878746,10.09921200917489,0.15799595612239292
K00710,9.38,0.04,0.04,0.015210545942778708,9.37951186646022,0.04022588198870625,-0.09586965173225792,9.383148458390373,0.04119651971222582
K00711,9.48,0.21,0.36,-40.83930294762199,9.791512248211252,0.47537069310117186,-1.9287971858564532,9.712888756697271,0.4070284846969683
K00714,8.99,0.56,0.39,4.019573247032,8.473352483922078,0.7662581371197894,1.4228829840401573,8.64130627775672,0.6302346643050492
K00717,9.87,0.08,0.09,0.000955614173790309,9.866601495557585,0.08547372988456714,-0.7710701836385141,9.914565630847779,0.09890581399804133
K00718,9.4,0.15,0.48,-24.59001694031882,9.696872530496954,0.535017217274326,-4.893065982568729,9.697337851528992,0.5392656890270342
K00719,9.58,0.39,0.58,-5.038333389778316,10.115443645279417,0.793869633966275,-1.517768988674291,9.945368295813395,0.6536459731023687
K00720,9.25,0.25,0.51,-63.283182896192,9.64801930708585,0.6373380388056579,-2.5190626180539937,9.581625174702571,0.5769451470584879
K00721,9.82,0.05,0.14,-22.89831535198445,9.91228383200736,0.16079718096238527,-4.008332232530847,9.908444533146158,0.157721061302738
K00722,9.65,0.09,0.12,-2.923090103469278,9.75986176111049,0.1635945037410792,-1.2276010704481166,9.722163781217793,0.13450888701411268
K00723,9.07,0.36,0.43,-1.97154625585803,9.444898942427116,0.5729957795306295,-0.9391229941163175,9.304997824100905,0.47707982431570917
K00730,9.95,0.05,0.05,9.447722959521343e-08,9.9499999962099,0.050278650151194926,-0.0009548008136732733,9.950039114907623,0.051346564857330024
K00732,9.38,0.31,0.48,-24.58102960094844,9.822690542538894,0.6566299872144643,-1.6295734050973323,9.685555974191198,0.541632798763384
K00733,9.35,0.43,0.57,-2.860684292737645,9.871226571836877,0.7766353001778006,-1.2124138395544577,9.691582929696306,0.6386657775628102
K00734,9.64,0.09,0.11,-2.143724473900562,9.73747821920397,0.14767893839835644,-1.0004410316104497,9.701733403759643,0.12237819547614881
K00738,9.74,0.26,0.44,-24.00966027575538,10.123775066127296,0.5835422237299424,-1.8892913974245715,10.024251535080326,0.4973952266453484
K00749,9.62,0.26,0.47,-40.87315066880759,10.013785576300606,0.6098550519043123,-2.096819974109451,9.925266718524004,0.531657157069875
K00752,9.6,0.23,0.4,-26.533088095751154,9.94308684372233,0.5256560580364757,-1.9734580635345509,9.859111613460765,0.4523282083064818
K00756,9.83,0.12,0.19,0.0024277305996207588,9.806364814934335,0.15586408353381342,-1.6929228130799174,9.951515569318854,0.2145185345665479
K00757,9.31,0.43,0.56,-2.6829468268444288,9.819888177735388,0.7614509395818418,-1.1663711134128931,9.64177380892593,0.6266599372912351
K00759,9.86,0.2,0.37,-23.647262422133537,10.165735456356522,0.4765408342462072,-2.173129150043735,10.100557021164919,0.4185876235394127
K00760,9.6,0.19,0.33,-24.040603592789097,9.883274487091974,0.43385626919174547,-1.9693428882666524,9.81374252663362,0.3731654966435979
K00771,9.83,0.11,0.15,-3.1862570776881824,9.967826622811188,0.20484840539965044,-1.2862972958183434,9.921322155350472,0.16837178289907062
K00800,9.46,0.18,0.32,-24.857156326124112,9.730824027315876,0.4174845309586438,-2.0429567396061543,9.667635281664152,0.36193612277495546
K00806,9.1,0.38,0.46,-2.070732931391774,9.505087450720675,0.6157818436107735,-0.9749225003318571,9.355448780947825,0.5112023818107156
K00825,9.48,0.36,0.56,-52.218053853986426,9.994953363720882,0.7648015201003353,-1.6425922936562927,9.83684863669885,0.6319840219040589
K00829,9.82,0.13,0.2,-8.398593256191702,10.004644550570887,0.27375442036996633,-1.6115254658177633,9.947125942642009,0.22563958852743804
K00834,9.68,0.12,0.06,24.0259829749009,9.585276209690125,0.15085609990164606,2.445668129831134,9.601935708769442,0.1357617539297442
K00835,9.48,0.37,0.54,-52.16460008756223,9.997393319395233,0.754860436696582,-1.466648148164694,9.818166851030563,0.608137801268086
K00837,9.28,0.39,0.55,-3.677343343621118,9.786977959044982,0.7522591681635427,-1.3748731894950197,9.620064134848718,0.6184688103388339
K00841,9.17,0.42,0.48,-1.6557397855877696,9.569211877643342,0.6264518156640375,-0.8169423147268589,9.415257912830665,0.5290466074565239
K00853,9.43,0.41,0.69,-24.679813926199586,10.033900365703676,0.9168277632846057,-1.8724250107682536,9.875470866244658,0.7799441753050189
K00857,9.27,0.39,0.55,-3.677343343621203,9.776977959044986,0.7522591681635438,-1.374873353194502,9.610064185025811,0.618468826914583
K00864,9.38,0.32,0.43,-3.0098547757244916,9.774229354913366,0.586610550982358,-1.247891392514319,9.639743013034481,0.48223364621133946
K00869,9.49,0.35,0.52,-52.70865668106113,9.982492393468753,0.7221169527391136,-1.5150755360136259,9.817475863344004,0.5860068923315093
K00870,9.46,0.39,0.63,81.49776635399749,8.755704929800801,0.8209170828623263,-1.7508206991563924,9.864374881793328,0.711612899603856
K00872,9.37,0.37,0.52,-3.619593088231838,9.849216711435087,0.711150055148466,-1.3657389723679074,9.691052735623298,0.584635854249339
K00874,9.1,0.39,0.52,-2.923090103469306,9.576067631478793,0.7089095162113456,-1.227600074514129,9.412709398950277,0.5828717376362207
K00880,9.15,0.39,0.49,-2.363553479862503,9.590539887463319,0.6622924881995511,-1.0729092598075454,9.432369332786616,0.5466707045161034
K00881,9.81,0.24,0.47,-25.271468863914777,10.185558327451002,0.5946534593768779,-2.3695796892355503,10.115820779835989,0.5317568710617191
K00884,9.33,0.38,0.5,-2.7842273144413667,9.786455980856429,0.6807185553332645,-1.1931202907071992,9.628249567076171,0.5599422318668565
K00889,9.89,0.15,0.24,-26.803895215483223,10.106788458595977,0.32451459447336417,-1.7230531865004366,10.043793121903699,0.27103562131148995
K00892,9.44,0.41,0.65,-32.48895683459753,10.030553017632325,0.8817439917623054,-1.6966024340761265,9.855814629729014,0.7339016510787443
K00896,9.53,0.35,0.52,-54.88821424152124,10.022492391999947,0.7221169507612071,-1.5150756129415868,9.857475882985895,0.5860068984849953
K00906,9.58,0.35,0.56,-29.378412101373712,10.085839737036673,0.7572007207668722,-1.723051949604141,9.938850508274012,0.6324163893400231
K00907,9.3,0.34,0.56,-30.4216472052117,9.796726112504759,0.7495999242571106,-1.8078896536562752,9.660523463970435,0.6327780144166123
K00918,9.11,0.35,0.52,-4.998281798226984,9.590050203760935,0.711743253518402,-1.5150757109116029,9.437475908539232,0.5860069069410292
K00921,9.57,0.32,0.5,-29.65799762040578,10.02847784222654,0.6817726714294325,-1.6551917678992396,9.888921029954806,0.5643375108335276
K00934,9.93,0.14,0.3,-25.869472670664067,10.157695851848729,0.3695394533336057,-2.709496715571774,10.124684337779183,0.3392768290749856
K00935,9.72,0.09,0.11,-2.1437244739006474,9.817478219203972,0.14767893839835677,-1.0004344714676847,9.781732882564256,0.1223780318266422
K00939,9.26,0.32,0.51,-35.15435907372762,9.7218146800979,0.6905436160651157,-1.71176042686497,9.586578030293197,0.5759004353107198
K00941,9.17,0.38,0.49,-2.589900176748756,9.61485081035573,0.6653457348695376,-1.1405862700773213,9.458276078022116,0.5479033356812761
K00954,9.9,0.14,0.24,-26.029405170630056,10.107674832282093,0.31691379565686784,-1.9288037014965198,10.055259743742184,0.2713525117750315
K00958,9.33,0.41,0.49,-1.9757040765852167,9.757405802757905,0.653084382106761,-0.940649859734151,9.597979308460982,0.5436885556395545
K00974,9.46,0.12,0.05,26.11675415660683,9.374389835475867,0.14325530145104282,3.1988630934994404,9.382794225466558,0.1355413805704504
K00975,9.6,0.04,0.14,-24.571283652105862,9.68317021247958,0.15319638781770706,-5.617130625064803,9.685480892702483,0.15697068977865036
K00981,9.29,0.13,0.11,-0.00886104882195582,9.297519843564379,0.12067155278775665,0.9103563919186257,9.219939824146891,0.14403022989693892
K00986,9.06,0.36,0.51,-3.7567073405337794,9.530231990495931,0.6976384834779052,-1.3869176960450886,9.375915510971554,0.5736133424333798
K00987,9.56,0.22,0.44,-24.62076275221034,9.90732056601174,0.5531390344282952,-2.4456891016594824,9.846237171294813,0.49779346988317263
K00988,8.94,0.46,0.51,-1.4397845699575953,9.34277530586955,0.651532789599291,-0.7268737767610958,9.184070197862605,0.5587387357547882
K00991,9.89,0.14,0.22,-33.71490463507065,10.091001160485792,0.29937191154578535,-1.6713737660965364,10.030491672967809,0.24834442011480273
K00993,9.8,0.18,0.29,-33.04557216523759,10.06081351771102,0.39117170210725605,-1.743102392699086,9.986056844901784,0.3275495685371821
K00999,9.35,0.42,0.64,-6.634271748838515,9.940862366742532,0.8760140063409225,-1.5848295242707877,9.755854101954032,0.7218423136449028
K01001,9.39,0.04,0.03,2.9230901034684535,9.353379412963173,0.054531501247023995,1.2276109421054855,9.365945162041982,0.044836374624729
K01010,9.72,0.07,0.1,-3.914573027069892,9.812239965979998,0.1368186301092229,-1.409210350618423,9.78214739656905,0.11251646640475232
K01015,9.9,0.05,0.05,9.49904119806888e-08,9.899999996189312,0.050278650151194704,0.0003799639968917745,9.899983559285863,0.05134601021004637
K01019,9.44,0.09,0.06,5.43927063588805,9.356911199786529,0.12318860128043974,1.5412985447328822,9.383164858361766,0.1014578895899797
K01032,9.91,0.1,0.09,1.4554783281947863,9.830670660371611,0.127979923361488,0.733584714735855,9.861881736980237,0.10960988555822526
K01050,9.93,0.14,0.25,-26.417093551675947,10.141011669097622,0.3256847388644365,-2.0572503055566784,10.092262491896738,0.2827727020787216
K01052,9.45,0.26,0.44,-28.391204552396545,9.83377506453707,0.5835422210277101,-1.8892931384774272,9.734251818912085,0.49739531972216056
K01060,9.64,0.07,0.08,-1.6557397855879543,9.706535312940563,0.10440863594400906,-0.8169373117192009,9.68087599881894,0.08817433802911434
K01069,9.42,0.29,0.48,-24.875601605057597,9.844463289509523,0.6414283889712581,-1.822500846594835,9.72923419422289,0.5424275901123273
K01089,9.44,0.2,0.33,0.003936048577713791,9.395829717566274,0.2664731517775255,-1.8131879075715318,9.652505268968119,0.3728987156226973
K01102,9.48,0.18,0.29,-24.558107383152546,9.740813517122756,0.3911717023125745,-1.7431059001563654,9.666057270578968,0.3275497086281718
K01113,9.6,0.09,0.11,-2.1437244739006474,9.697478219203969,0.14767893839835666,-1.0004272655118314,9.661732308360122,0.12237785130289391
K01115,9.89,0.03,0.03,0.02120558730653954,9.889489628143007,0.03017150716452266,0.1115528410565787,9.887250458189587,0.030928714282930647
K01116,9.8,0.12,0.15,-2.3214266032268114,9.934545967922872,0.20252136176700053,-1.0595334279302904,9.886049107575069,0.1672669027214535
K01117,9.37,0.03,0.04,-2.92309010346969,9.40662058703683,0.05453150124702566,-1.2275998504974694,9.394054563606717,0.04483628572516718
K01118,9.81,0.06,0.07,-1.801802987435721,9.869703147855505,0.09236374085389099,-0.8749533243472882,9.847026533628544,0.0774111193793312
K01120,9.39,0.12,0.11,1.3211620678686558,9.298777129957557,0.15105044088741404,0.6754160209693509,9.335110007117338,0.13095202715007215
K01126,9.86,0.17,0.29,-25.911805933407237,10.111699890748646,0.38357090226134083,-1.9136985473458736,10.047511165704048,0.32786397650318466
K01127,9.81,0.09,0.1,0.01373729410518365,9.805619572722787,0.09553516382718863,-0.7335911302577216,9.858118809446358,0.10961002849887014
K01128,9.71,0.21,0.27,-2.5632800640261166,9.954892151126717,0.3664560982777517,-1.132991825649242,9.86850459331663,0.3018345136541495
K01145,9.15,0.27,0.39,-4.151041906243208,9.509877007130921,0.5336931074313114,-1.4387954400792466,9.393363378491056,0.4390250868000095
K01148,9.42,0.12,0.23,-25.869431920035566,9.606110747623607,0.2929412584817833,-2.2938058856758943,9.569649358600689,0.26022336375444244
K01151,9.93,0.13,0.2,0.00044727691044954554,9.906607776755422,0.16591834994247845,-1.6115243509300257,10.057125839161369,0.2256395545135742
K01161,10.12,0.01,0.03,-22.767574452197607,10.139124134029107,0.03391362523548214,-4.4402103100516825,10.138767360940774,0.03375062764022507
K01162,10.11,0.02,0.04,-30.540824730174094,10.14157459695393,0.050285366768141215,-2.4456755696954673,10.136021424096871,0.045253907094807144
K01163,10.02,0.09,0.19,-26.31069555895037,10.165422520007429,0.23505508964772237,-2.6504213477645635,10.143389754070569,0.2148985445991981
K01165,9.67,0.23,0.51,74.57001830654224,9.128457829722052,0.5893724113822292,-2.8492574421275663,10.000283768567527,0.5765967243545376
K01168,9.43,0.12,0.05,22.513372220193645,9.344389837567498,0.14325529919385904,3.1988657246477317,9.352794175153019,0.13554139918634678
K01169,9.87,0.11,0.14,-2.473176691893002,9.996530311553311,0.18969470679469558,-1.106565864684626,9.951547769102884,0.15637313734135483
K01175,9.46,0.02,0.02,1.6248542067387461e-07,9.459999997392659,0.020111460060477038,0.09439923824541552,9.458450010135577,0.020596447455593192
K01196,10.11,0.02,0.04,-30.540824730174094,10.14157459695393,0.050285366768141215,-2.4456755696954673,10.136021424096871,0.045253907094807144
K01198,9.53,0.07,0.1,-3.9145730270740415,9.622239965980015,0.13681863010923512,-1.4092091170852683,9.592147326797857,0.1125164441348323
K01199,9.51,0.36,0.58,74.09858011707732,8.861283597300464,0.7566002374020064,-1.743110179319629,9.882115587140657,0.6550997615297793
K01203,9.87,0.16,0.27,-25.878450485743997,10.105912592688734,0.35842821956992554,-1.8806535463013745,10.044370976656316,0.3052077813410474
K01206,9.49,0.02,0.03,-5.439270635892541,9.517696266737826,0.04106286709348128,-1.5412964012260488,9.508945016714785,0.033819286881947686
K01215,9.59,0.12,0.05,22.4739941099553,9.504389841876261,0.14325529461768327,3.198841574563872,9.512794003562107,0.13554142233213184
K01216,9.81,0.04,0.05,-2.3214266032268824,9.85484865597429,0.06750712058899999,-1.0595354321750818,9.838683106058586,0.05575565653633041
K01218,10.05,0.06,0.08,-2.923090103469633,10.123241174073662,0.1090630024940551,-1.2276017305097042,10.09810921979808,0.08967260131104737
K01220,9.69,0.02,0.02,1.4108793777722894e-07,9.689999997736015,0.020111460060476927,-0.08394801962748488,9.691377825902755,0.02058442781925396
K01221,9.57,0.05,0.03,92.74151459092252,9.525974940996464,0.06665710743016673,1.8431780897006007,9.537758447060032,0.056509275089271616
K01222,9.39,0.08,0.06,2.9230901034693346,9.316758825926339,0.10906300249405365,1.227598522124481,9.341890935046944,0.08967255116402151
K01230,8.95,0.05,0.05,9.500051589839131e-08,8.949999996188904,0.05027865015119515,-0.00024512124524278533,8.95001003285279,0.05134654450964149
K01239,9.32,0.33,0.49,0.00860631834316905,9.263836130096456,0.41229416960695864,-1.5134876430480944,9.628530438649262,0.5521876370047321
K01240,9.75,0.16,0.26,-26.161105573556867,9.982575757381465,0.3496572782927615,-1.7681557268890202,9.917045858018124,0.2937162880188334
K01241,9.34,0.11,0.08,3.2945668010210483,9.238824983827731,0.15029485865882775,1.3080741071473483,9.272752958209303,0.12353139968890958
K01242,9.62,0.08,0.09,-1.544269143726467,9.693061831002746,0.11626904581334652,-0.7710642765005815,9.66456518974682,0.09890567808320283
K01270,9.52,0.32,0.49,-54.34335779255641,9.975141006736429,0.673001729938526,-1.5983938511853069,9.83110738211965,0.5527413253113853
