p,rp
100.0,1.6104467597168381
93.26033468832199,1.5879390720823414
86.97490026177834,1.5651525310415992
84.55152626080749,1.5556761439304723
81.11308307896873,1.5431817611832197
75.64633275546291,1.5215516132277798
70.54802310718645,1.500045376138004
67.2189865143993,1.484968262254465
65.79332246575683,1.478960332237795
61.35907273413176,1.459007113497364
57.2236765935022,1.4389374267742037
53.366992312063125,1.4186263060804134
53.16316971652469,1.4174741629268055
49.770235643321136,1.3996943167679692
46.41588833612782,1.38074217030687
43.28761281083057,1.3615969437964361
41.99506226829638,1.3530477745798075
40.37017258596554,1.3430490670963768
37.64935806792467,1.3237317738141918
35.11191734215131,1.3056341394500797
33.29015697759836,1.291549665014884
32.74549162877728,1.2876177136866676
30.538555088334157,1.270584812268021
28.480358684358023,1.2534668131557147
26.560877829466868,1.2361482577187932
26.22112825409091,1.2328467394420666
24.77076355991711,1.219727865586528
23.101297000831604,1.203513635038918
21.544346900318846,1.1871454539260733
20.637677739443333,1.1768119524349985
20.09233002565048,1.1710067795705248
18.73817422860385,1.155458864365464
17.475284000076847,1.1397745321384802
16.297508346206453,1.1238986051407005
16.257626319555612,1.1233240329780276
15.199110829529333,1.1091111067428483
14.174741629268048,1.0944433133862885
13.219411484660288,1.079712757583618
12.772732318591963,1.0722672220103238
12.32846739442066,1.0653430915786517
11.497569953977354,1.0514579183852701
10.722672220103231,1.0374829190484847
10.009809495391012,1.0235310218990266
10.0,1.023350801319362
9.326033468832199,1.0101160887381844
8.697490026177835,0.9968652945493071
8.111308307896872,0.9835290782782737
7.846292850587899,0.9770099572992254
7.56463327554629,0.9705267769360619
7.054802310718646,0.9579525136744813
6.5793322465756825,0.9453017689626745
6.143078688674986,0.9326033468832199
6.1359072734131725,0.9324076797185535
5.722367659350217,0.920292535384977
5.3366992312063095,0.9083362469036906
4.977023564332112,0.8962966197957034
4.809036156508284,0.8902150854450388
4.641588833612779,0.8845373827175563
4.328761281083059,0.8731859465337637
4.037017258596556,0.861759255437724
3.7649358067924674,0.8502141512029016
3.7548558464773416,0.8497534359086445
3.5111917342151315,0.8393560622219278
3.2745491628777286,0.8285015189052275
3.053855508833415,0.8175671721518938
2.9337838389072535,0.8111308307896873
2.848035868435802,0.8068236337630764
2.656087782946687,0.7964569716686432
2.4770763559917115,0.7859867667810602
2.31012970008316,0.775328782296264
2.294788590757146,0.7742636826811271
2.1544346900318843,0.7651567882626337
2.009233002565047,0.7549359300430423
1.8738174228603839,0.7445163914957909
1.8088646279653093,0.739072203352578
1.7475284000076838,0.7342467939205808
1.6297508346206442,0.7242656362554322
1.5199110829529339,0.7141788559890851
1.433320507092228,0.7054802310718644
1.4174741629268055,0.703979605285482
1.3219411484660293,0.6942477602254917
1.232846739442066,0.6843996903517324
1.1497569953977356,0.6743853784525702
1.1423226915042897,0.6734150657750824
1.072267222010323,0.664820875075573
1.0,0.6552521147321579
0.9326033468832198,0.6455578374253923
0.9150105848386653,0.6428073117284322
0.8697490026177834,0.6361260372201134
0.8111308307896873,0.6267701933015974
0.7564633275546289,0.6172944995630593
0.7368479096527935,0.6135907273413174
0.7054802310718644,0.6079779945906355
0.6579332246575681,0.5987460694571841
0.6135907273413173,0.5893560898695747
0.5977531213383336,0.5857020818056667
0.5722367659350217,0.5801124682358965
0.533669923120631,0.5709836910795886
0.49770235643321115,0.5617171793709491
0.4883186260614101,0.5590810182512224
0.464158883361278,0.5526402038426985
0.4328761281083058,0.5436338475162935
0.40370172585965547,0.5344923179216373
0.40127642321568974,0.533669923120631
0.3764935806792469,0.5257128882347757
0.3511191734215131,0.5169390545201363
0.3310686484192966,0.5094138014816381
0.32745491628777285,0.5081225088827086
0.30538555088334157,0.49966759833261826
0.2848035868435802,0.4911547171491677
0.27388050054510155,0.4862601580065355
0.26560877829466867,0.4827411498586382
0.24770763559917108,0.47458401931621236
0.23101297000831597,0.4663637559574012
0.22687352406949898,0.464158883361278
0.2154434690031884,0.45839430752123067
0.20092330025650468,0.45053695522728954
0.1881443856724063,0.44306214575838804
0.1873817422860384,0.4426377359552656
0.17475284000076838,0.43512592294539754
0.16297508346206444,0.4276025982119242
0.15619432289810187,0.42292428743894994
0.1519911082952934,0.42017258068406604
0.1417474162926805,0.4129998784481722
0.1321941148466029,0.40579436971270766
0.12962187226786742,0.40370172585965547
0.12328467394420664,0.3988224229651743
0.11497569953977356,0.39197093080627715
0.10754392049505129,0.38535285937105296
0.10722672220103233,0.3850841946392168
0.1,0.3785433343452813
