p,rp
100.0,1.5225600762763043
93.26033468832199,1.4973548304873705
90.21321765895888,1.484968262254465
86.97490026177834,1.473241210197894
81.11308307896873,1.4503088058707738
75.64633275546291,1.4266240863021173
73.69715542131657,1.4174741629268055
70.54802310718645,1.4042896659834558
65.79332246575683,1.3825472293772525
61.35907273413176,1.3600453742236975
60.07141780565926,1.3530477745798075
57.22367659350219,1.3392461574161691
53.366992312063125,1.318975764660924
49.770235643321136,1.2980632392830396
48.73879896163669,1.291549665014884
46.41588833612782,1.2784525857680795
43.28761281083057,1.2592582095793332
40.37017258596554,1.239589299116291
39.44027498966661,1.2328467394420666
37.64935806792467,1.2212252958391727
35.11191734215131,1.2032263835029473
32.74549162877728,1.184706732562613
31.816907750988033,1.1768119524349985
30.538555088334157,1.1670569929108374
28.48035868435802,1.1500274321144803
26.560877829466868,1.132512015826723
25.636509912906035,1.1233240329780276
24.770763559917114,1.1155938835764514
23.101297000831604,1.0993814824227037
21.544346900318846,1.082613645179729
20.659210650544587,1.0722672220103238
20.09233002565048,1.0663025391603906
18.738174228603853,1.0510038846293694
17.475284000076847,1.03541203451469
16.59440412690498,1.0235310218990263
16.297508346206453,1.0199218109064392
15.199110829529332,1.0055912532079527
14.174741629268048,0.9908533305907877
13.301900197032227,0.9770099572992254
13.219411484660288,0.9758274331945759
12.32846739442066,0.9621840789460969
11.497569953977356,0.948176202163924
10.722672220103231,0.9338053549555236
10.661874413099845,0.9326033468832199
10.0,0.9207822673869475
9.326033468832199,0.9076439858989074
8.697490026177835,0.8942086318579581
8.52528598191443,0.8902150854450388
8.111308307896872,0.8815219179926367
7.56463327554629,0.8689883900357099
7.054802310718644,0.8562681800988581
6.813645312297005,0.8497534359086445
6.5793322465756825,0.84400982391124
6.1359072734131725,0.8322165707882425
5.722367659350217,0.8201552654382187
5.4367304247229615,0.8111308307896874
5.33669923120631,0.8082571010304396
4.977023564332112,0.7972354296068376
4.641588833612779,0.7859830403516601
4.328761281083059,0.7744352371496871
4.3244529541359205,0.7742636826811272
4.037017258596556,0.7638610675814604
3.764935806792467,0.7531417299161097
3.511191734215131,0.7422625149474634
3.4418897909148116,0.739072203352578
3.2745491628777286,0.7320537646820338
3.0538555088334154,0.7219569574510502
2.848035868435802,0.7116591078478997
2.7344375165636414,0.7054802310718644
2.656087782946687,0.7015866874727764
2.4770763559917115,0.6919412595555277
2.31012970008316,0.6819426475064349
2.183787331146357,0.6734150657750824
2.1544346900318843,0.6715976046998856
2.009233002565047,0.6617657196032102
1.8738174228603839,0.6515694045815819
1.7674428294285698,0.6428073117284323
1.7475284000076838,0.6412990999376103
1.6297508346206446,0.6316295336264974
1.5199110829529339,0.6213647461554314
1.4453127756350859,0.6135907273413173
1.4174741629268055,0.6109274581747812
1.321941148466029,0.600979597485017
1.232846739442066,0.5906706814954321
1.193617297148991,0.5857020818056667
1.1497569953977356,0.580617255617055
1.072267222010323,0.5707922911901475
1.0,0.5606971479118777
0.9892444006503229,0.5590810182512224
0.9326033468832198,0.5512956201418224
0.8697490026177834,0.5418221683156604
0.8203828952066543,0.533669923120631
0.8111308307896873,0.5322732882008723
0.7564633275546289,0.5233731774068946
0.7054802310718644,0.5142227647465196
0.6808132227535509,0.5094138014816381
0.6579332246575681,0.5053382881009212
0.6135907273413173,0.4967562584222405
0.5722367659350217,0.48794712780146365
0.5648833235907601,0.4862601580065355
0.533669923120631,0.47971565191427723
0.49770235643321115,0.47145141382809097
0.46875137039634784,0.464158883361278
0.464158883361278,0.4631021894031977
0.4328761281083059,0.45535305356159117
0.40370172585965547,0.44739582950642404
0.3890811288466032,0.4430621457583881
0.3764935806792468,0.4396531250929546
0.3511191734215131,0.43219016399437293
0.32745491628777285,0.42452961776497916
0.3228523829382373,0.4229242874389499
0.30538555088334157,0.4173562232647131
0.2848035868435802,0.41016954190850036
0.26791481702662956,0.40370172585965547
0.26560877829466867,0.4028950130711494
0.24770763559917108,0.39615623651002774
0.23101297000831597,0.3892364605798782
0.22239503318416942,0.38535285937105296
0.2154434690031884,0.38249056229214856
0.20092330025650468,0.37600060341028585
0.1873817422860384,0.36933874833106245
0.1845515674699759,0.36783797718286343
0.17475284000076838,0.3630890382305353
0.16297508346206444,0.3568392841919251
0.15315044932045377,0.35111917342151316
0.1519911082952934,0.3505025819091746
0.1417474162926805,0.34464231201255113
0.1321941148466029,0.3386246087501559
0.12713742800334604,0.3351602650938842
0.12328467394420663,0.3327485221927088
0.11497569953977356,0.32710459975309036
0.10722672220103231,0.3213111367044489
0.10550941200133457,0.31992671377973836
0.1,0.3158673897597709
