kepid,rrmscdpp03p0
10018904,270.89099999999996
10018920,135.477
10018923,146.764
10018934,194.43
10018953,181.829
10018962,170.83
10018963,27.765
10018967,178.322
10018969,223.71900000000002
10024715,257.582
10024766,511.779
10024777,290.14
10024786,194.044
10024811,159.878
10024825,209.17700000000002
10024830,403.306
10024834,275.997
10024862,277.404
10024883,223.326
10024885,116.335
10024897,73.24600000000001
10028599,217.541
10028626,58.31100000000001
10028634,152.5
10028665,208.273
10028792,125.31299999999999
10028795,181.153
10028824,117.33200000000001
10028836,263.969
10028854,73.376
10028858,49.418
10028888,99.853
10028915,166.438
10034320,84.75200000000001
10034363,76.96600000000001
10034389,53.757
10034404,116.42399999999999
10034405,253.355
10034425,74.209
10034489,479.168
10034505,151.121
10034595,241.733
10034623,150.819
10034643,62.88399999999999
10034653,305.399
10034683,285.546
10057651,194.33700000000002
10057661,27.234
10057670,193.0
10057676,32.796
10057759,59.855
10057795,183.727
10057809,258.74
10057811,182.233
10057846,95.765
10057888,463.04400000000004
10057893,109.78200000000001
10057928,358.04
10057939,289.08099999999996
10065157,53.357
10065158,211.581
10065165,83.12700000000001
10065171,135.137
10065198,73.918
10065213,247.834
10065244,682.607
10065275,39.536
10065293,394.624
10065297,220.733
10065299,144.847
10065309,239.15200000000002
10065322,281.889
10069078,87.756
10069097,154.005
10069130,87.669
10069131,120.88600000000001
10069168,187.71900000000002
10069188,6570.4490000000005
10069234,215.983
10069259,93.69200000000001
10069277,130.114
10069309,197.805
10069342,186.05900000000003
10069345,199.271
10069378,409.916
10078400,155.554
10078440,122.853
10078497,115.182
10078823,63.577
10078861,104.729
10078869,238.518
10078902,231.082
10078965,12789.178999999998
10078979,127.456
10078984,86.315
10078985,115.58
10078987,197.078
10079002,85.851
10079005,168.063
10082667,74.952
10082680,150.1
10082691,224.005
10082730,267.775
10082757,222.636
10082762,119.725
10082769,228.942
10082778,209.709
10082785,123.507
10082844,166.86700000000002
10082879,104.14200000000001
10082904,26.029
10088714,187.185
10088718,173.22
10088750,80.94800000000001
10088768,200.30599999999998
10088773,148.43
10088775,166.362
10088793,315.971
10088842,214.31799999999998
10088843,172.33
10088877,46.778999999999996
10088881,136.735
10088893,95.561
10092312,109.634
10092335,126.807
10092349,83.79799999999999
10092376,133.22899999999998
10092418,170.213
10092426,122.521
10092453,209.94799999999998
10092454,190.803
10092485,81.80199999999999
10092506,63.208999999999996
10092508,171.36
10092547,125.448
10092567,130.422
10098174,74.71300000000001
10098201,131.535
10098203,79.436
10098302,309.165
10098322,61.891000000000005
10098323,164.86
10098534,212.952
10098539,102.72
10098540,328.195
10098577,203.476
10098590,95.181
10098625,269.437
10098633,66.753
10122776,34.931
10122780,55.635
10122826,205.967
10122875,733.05
10122878,293.038
10122895,108.008
10122937,50.44
10122944,120.28399999999999
10122953,176.66299999999998
10122955,177.166
10122999,178.208
10123009,137.718
10123025,248.92
10123041,225.612
10001391,73.233
10001440,201.56599999999997
10001456,99.507
10001511,218.611
10001547,62.93600000000001
10001558,110.65100000000001
10001577,165.497
10001584,82.48899999999999
10001636,243.35299999999998
10001648,125.898
10001658,151.04
10001688,280.598
10001717,179.854
10005439,311.125
10005473,27.689
10005482,199.582
10005499,17.628
10005502,208.71599999999998
10005605,164.82
10005609,297.369
10005646,56.615
10005647,147.942
10005656,168.104
10005667,34.994
10005685,250.46
10005686,107.088
10014644,141.793
10014645,316.797
10014649,37.778
10014667,186.135
10014689,62.474
10014693,107.88799999999999
10014698,140.10399999999998
10014702,161.545
10014707,157.909
10014765,209.898
10014787,77.085
10014830,
10014875,240.278
10018973,115.15700000000001
10018994,56.937
10019007,441.157
10019022,325.935
10019043,243.618
10019062,122.681
10019065,162.04
10019114,146.572
10019136,193.122
10019139,182.52599999999998
10019173,253.093
10019205,223.96599999999998
10019233,75.829
10024906,148.374
10024931,250.84599999999998
10024955,195.65599999999998
10025001,140.655
10025060,271.209
10025069,137.565
10025101,206.19799999999998
10025111,80.243
10025122,157.251
10025167,238.512
10025187,98.47200000000001
10025195,112.08200000000001
10025276,179.188
10028921,123.24700000000001
10028933,319.086
10028976,180.925
10028987,208.304
10029022,104.226
10029078,217.19799999999998
10029096,209.68599999999998
10029112,280.339
10029121,244.148
10029123,258.904
10029139,208.863
10029141,298.8
10034694,273.02299999999997
10034845,289.936
10034864,97.53399999999999
10034889,154.014
10034896,179.207
10034926,92.473
10034955,174.46200000000002
10035088,89.604
10035150,107.404
10035155,630.172
10035235,92.641
10035363,35.118
10057941,134.395
10057997,149.269
10058021,181.18400000000003
10058035,270.921
10058079,145.72299999999998
10058115,29.544
10058137,197.928
10058234,131.219
10058243,155.232
10058278,74.946
10058286,107.484
10058367,307.69599999999997
10065366,235.317
10065413,81.51899999999999
10065425,196.333
10065429,92.914
10065437,142.583
10065464,66.024
10065475,151.474
10065516,220.53599999999997
10065521,173.143
10065550,156.83
10065555,56.547
10065568,67.137
10069380,42.318000000000005
10069388,222.79
10069421,91.81200000000001
10069424,134.96200000000002
10069498,273.937
10069511,63.047
10069536,24.068
10069546,47.718999999999994
10069570,114.079
10069584,237.334
10069635,79.205
10069739,247.803
10079027,71.653
10079075,167.007
10079113,208.204
10079118,123.90899999999999
10079146,104.39
10079154,257.427
10079157,172.045
10079206,69.715
10079226,21.179000000000002
10079245,85.83200000000001
10079252,86.23
10079258,223.622
10079263,160.542
10082909,154.036
10082920,151.454
10082925,188.915
10082930,143.088
10082936,124.416
10082941,156.80100000000002
10082950,78.971
10082955,193.726
10082977,146.342
10083021,288.62
10083026,77.791
10083074,156.08700000000002
10088895,163.783
10088930,105.568
10088950,110.34200000000001
10088999,223.702
10089024,59.068000000000005
10089105,150.366
10089114,277.872
10089119,198.108
10089123,105.001
10089163,163.998
10089175,88.20299999999999
10089239,101.507
10092601,282.413
10092637,233.50900000000001
10092640,224.604
10092646,89.042
10092657,168.579
10092693,202.847
10092700,298.378
10092706,84.113
10092716,108.413
10092728,103.995
10092731,237.65400000000002
10092784,196.516
10098652,253.395
10098671,286.285
10098701,84.30799999999999
10098760,112.021
10098773,198.405
10098804,191.608
10098844,114.4
10098858,1382.6660000000002
10098870,172.205
10098876,117.42399999999999
10098887,400.105
10098932,209.263
10098952,185.571
10123050,241.895
10123052,99.04299999999999
10123057,174.437
10123064,191.85299999999998
10123123,94.848
10123151,673.932
10123207,152.541
10123220,67.48100000000001
10123234,36.816
10123343,152.21200000000002
10123348,210.597
10123367,270.82
10123398,237.46900000000002
10001728,206.175
10001733,150.31
10001786,190.83700000000002
10001796,171.896
10001797,222.984
10001808,172.45
10001809,72.915
10001824,207.615
10001826,77.956
10001866,124.68
10001893,284.901
10001898,146.893
10001933,162.246
10005690,85.10700000000001
10005692,210.43599999999998
10005714,74.833
10005745,228.03900000000002
10005758,79.187
10005761,147.859
10005770,141.539
10005772,87.73700000000001
10005788,222.071
10005819,143.77100000000002
10005831,276.649
10005956,34.564
10005960,374.346
10014880,210.035
10014886,285.346
10014893,146.566
10014894,56.805
10014906,221.213
10014914,145.578
10014917,129.313
10014922,189.31400000000002
10014945,250.555
10014954,117.23
10014959,161.09799999999998
10015286,283.95799999999997
10019239,159.153
10019242,74.895
10019281,209.737
10019291,43.446000000000005
10019318,95.721
10019347,110.105
10019352,251.544
10019358,51.912
10019364,81.6
10019381,301.585
10019399,60.497
10019405,77.46300000000001
10025321,145.17700000000002
10025331,265.282
10025344,285.024
10025369,315.579
10025374,144.32299999999998
10025387,160.558
10025388,265.172
10025444,184.007
10025454,285.382
10025485,224.313
10025506,151.928
10025563,203.82299999999998
10025580,263.155
10029190,84.63799999999999
10029231,56.881
10029649,215.365
10029662,83.86
10029690,261.548
10029697,236.046
10029699,204.171
10029716,442.276
10029763,196.153
10029786,243.768
10029815,194.857
10029821,155.596
10035558,399.284
10035559,38.113
10035631,157.957
10035635,199.97099999999998
10035772,367.32099999999997
10035775,318.18
10035798,222.862
10053071,188.62099999999998
10053099,501.895
10053100,42.531000000000006
10053138,91.866
10053146,662338.375
10053181,254.838
10058368,63.364
10058374,578.154
10058376,121.001
10058384,56.753
10058409,278.67900000000003
10058479,127.48200000000001
10058491,58.226000000000006
10058496,60.401
10058570,69.575
10058600,58.909
10058649,249.138
10058656,146.126
10058711,97.93700000000001
10065591,125.109
10065597,257.722
10065623,105.484
10065633,88.396
10065638,232.24900000000002
10065641,53.68899999999999
10065675,235.66299999999998
10065676,227.238
10065683,87.427
10065692,25.938000000000002
10065700,139.533
10065701,105.194
10069764,168.951
10069788,203.433
10069808,225.958
10069831,53.571000000000005
10069844,78.411
10069894,69.168
10069907,178.373
10069912,176.605
10069925,134.392
10069933,63.832
10069934,131.21
10069993,127.12700000000001
10079281,86.365
10079288,73.918
10079315,207.02700000000002
10079317,69.889
10079324,256.041
10079354,329.654
10079397,128.745
10079398,243.86
10079420,99.531
10079452,107.31200000000001
10079458,192.892
10079460,95.506
10083096,199.715
10083134,89.176
10083167,270.209
10083197,246.882
10083199,287.18
10083203,292.47
10083224,141.835
10083226,110.56700000000001
10083247,99.52600000000001
10083250,62.593
10083254,132.46
10083287,54.093999999999994
10083309,48.746
10089244,93.102
10089262,79.958
10089264,74.33
10089267,271.134
10089269,106.80799999999999
10089284,244.831
10089308,201.34099999999998
10089318,187.523
10089395,163.25799999999998
10089411,
10089420,167.173
10089468,37.66
10089471,269.409
10092805,182.95
10092806,193.757
10092834,128.997
10092932,1291.853
10092945,1009.3839999999999
10093235,309.198
10093322,154.80100000000002
10093364,288.355
10093428,237.243
10093467,280.252
10093468,210.44099999999997
10093494,83.802
10093511,305.005
10093529,300.982
10098969,227.655
10099023,153.53799999999998
10099099,88.59299999999999
10099101,298.411
10099121,220.32
10099182,290.52
10099291,120.919
10099397,188.792
10099612,136.738
10099728,112.61
10099790,264.928
10099921,173.547
10123450,40.593
10123523,61.843
10123536,84.537
10123547,96.01700000000001
10123548,145.582
10123560,45.216
10123573,149.078
10123606,129.201
10123621,16263.455
10123627,
10123636,75.05
10123637,55.724
10123664,105.17399999999999
10123696,160.564
10001935,183.75400000000002
10001957,170.533
10001961,116.196
10001973,204.67
10001994,140.273
10002025,239.19799999999998
10002049,174.172
10002066,106.65100000000001
10002073,116.256
10002088,341.79699999999997
10002106,38.774
10002147,50.051
10002167,213.722
10005961,88.45700000000001
10005966,101.531
10005982,100.65700000000001
10006032,228.891
10006069,87.676
10006096,247.97299999999998
10006097,180.042
10006127,301.632
10006140,23.779
10006158,83.023
10006164,237.34599999999998
10006171,151.02
10015325,146.405
10015378,95.569
10015379,188.12400000000002
10015383,100.075
10015399,108.31299999999999
10015438,275.876
10015450,224.15099999999998
10015467,66.098
10015516,109.50200000000001
10015534,35.675
10015543,141.694
10015567,32.718
10019418,217.908
10019421,158.733
10019464,67.125
10019467,254.176
10019490,188.956
10019527,119.60799999999999
10019532,37.010999999999996
10019594,193.65200000000002
10019610,209.91400000000002
10019643,109.50299999999999
10019644,210.521
10019661,213.44299999999998
10025590,210.075
10025662,163.797
10025667,247.688
10025678,169.12400000000002
10025711,224.453
10025720,143.21200000000002
10025746,162.151
10025748,183.063
10025759,191.044
10025763,172.44299999999998
10025788,33.421
10025805,263.663
10029830,344.098
10029833,76.37
10029838,83.859
10029847,214.317
10029853,295.11
10029855,90.11399999999999
10029864,137.309
10029868,201.761
10029881,269.008
10029899,233.05599999999998
10029913,124.654
10029943,340.82199999999995
10029985,73.15899999999999
10053224,123.588
10053228,742.1519999999999
10053278,98.24600000000001
10053344,49.591
10053349,198.85299999999998
10053392,223.25799999999998
10053414,169.31599999999997
10053448,118.913
10053452,247.24599999999998
10053460,257.374
10053499,52.888000000000005
10053512,116.55
10053536,280.15
10058755,121.90799999999999
10058816,153.243
10058829,238.945
10058843,68.419
10058848,252.141
10058860,109.617
10058916,222.218
10058938,58.964
10058948,175.81900000000002
10058997,223.425
10059007,257.577
10059061,126.945
10065717,208.067
10065745,749.288
10065814,79.944
10065819,241.59799999999998
10065836,275.29200000000003
10065848,109.566
10065852,343.455
10065894,224.54
10065920,159.06799999999998
10065923,51.033
10065924,208.172
10065928,74.39699999999999
10065944,45.20399999999999
10070076,96.905
10070087,114.84100000000001
10070105,82.684
10070158,83.272
10070178,121.214
10070180,81.464
10070187,439.811
10070197,182.798
10070204,118.272
10070247,465.835
10070265,128.8
10070331,83.40799999999999
10070347,244.023
10070355,142.401
10079481,37.599000000000004
10079491,171.465
10079548,117.68799999999999
10079556,248.162
10079565,132.545
10079596,169.65400000000002
10079621,62.985
10079657,140.101
10079678,123.126
10079723,76.383
10079753,68.891
10079795,163.754
10083312,255.863
10083313,172.482
10083318,532.038
10083325,61.401
10083366,186.963
10083369,167.43400000000003
10083396,36.141999999999996
10083404,80.819
10083442,243.642
10083480,113.17200000000001
10083483,201.024
10083502,92.447
10089523,54.28
10089548,208.299
10089553,231.52
10089581,124.26
10089587,127.706
10089589,129.696
10089617,204.232
10089646,125.759
10089688,167.55900000000003
10089702,210.808
10089730,251.51
10089743,156.26
10093548,197.125
10093567,113.35
10093571,78.926
10093588,246.06599999999997
10093607,124.861
10093620,110.663
10093664,39.999
10093680,30.730999999999998
10093751,178.753
10093761,283.815
10093782,274.231
10093844,176.493
10093860,217.49400000000003
10118100,377.04699999999997
10118157,56.98
10118229,246.817
10118250,45.894
10118266,240.66299999999998
10118339,246.19099999999997
10118384,226.033
10118419,236.851
10118422,140.68
10118503,75.32300000000001
10118525,203.45
10118532,241.328
10118568,86.007
10123707,113.883
10123716,90.962
10123761,234.174
10123787,226.92700000000002
10123808,54.677
10123890,192.393
10123893,251.831
10123937,140.031
10123950,239.199
10123966,80.204
10123983,98.95
10124015,87.87299999999999
10002203,90.242
10002247,69.137
10002261,42.873000000000005
10002266,157.215
10002329,196.14
10002341,80.134
10002348,201.171
10002349,93.149
10002385,240.862
10002396,142.66
10002413,111.291
10002443,69.189
10002456,274.747
10006172,176.688
10006183,152.356
10006206,162.901
10006232,199.9
10006244,239.158
10006254,140.361
10006284,210.109
10006288,105.926
10006329,69.16199999999999
10006362,69.461
10006367,161.918
10006412,165.40400000000002
10006472,80.831
10015569,223.41299999999998
10015580,175.668
10015662,47.985
10015663,174.81900000000002
10015672,37.242
10015686,211.66
10015708,39.59
10015717,38.91
10015721,168.78900000000002
10015745,74.773
10015753,116.375
10015787,37.942
10019668,47.565
10019678,149.525
10019706,194.315
10019708,139.168
10019717,178.24900000000002
10019747,31.704
10019758,207.822
10019763,194.88099999999997
10019769,164.67
10019810,389.00800000000004
10019818,149.85299999999998
10019820,290.225
10025831,143.685
10025841,30.648000000000003
10025854,72.264
10025901,108.898
10025907,161.502
10025929,40.845
10025939,234.28599999999997
10025944,156.024
10025949,35.864000000000004
10025968,196.253
10025969,243.671
10025984,105.381
10029999,40.299
10030066,273.055
10030092,42.851000000000006
10030147,199.989
10030167,320.177
10030203,199.481
10030232,249.014
10030276,76.158
10030361,54.483000000000004
10030372,208.845
10030385,245.467
10030386,207.702
10053551,195.28400000000002
10053594,224.45
10053606,124.302
10053617,261.441
10053675,87.204
10053717,137.779
10053760,182.512
10053777,156.826
10053778,215.692
10053852,123.79299999999999
10053930,266.118
10053995,200.308
10054004,117.087
10059101,222.794
10059152,199.99
10059173,116.196
10059186,255.21400000000003
10059190,277.159
10059199,320.123
10059207,75.013
10059265,183.36599999999999
10059304,139.657
10059313,152.849
10059338,58.843999999999994
10059355,279.501
10065951,140.66299999999998
10065953,172.31599999999997
10065957,85.736
10065991,73.766
10066000,216.655
10066002,304.193
10066053,221.861
10066072,189.81
10066073,356.119
10066091,210.78
10066173,79.737
10066179,76.47
10070378,63.342
10070418,80.196
10070454,133.937
10070468,126.60700000000001
10070479,232.477
10070526,159.481
10070532,97.584
10070567,171.183
10070575,169.571
10070579,203.46099999999998
10070588,65.831
10070597,136.164
10070617,125.956
10079810,99.165
10079819,179.485
10079832,118.323
10079863,251.21099999999998
10079864,67.905
10079873,95.491
10079875,212.56599999999997
10079908,57.33
10079921,136.035
10079938,219.27900000000002
10079947,210.396
10079981,220.30700000000002
10079987,189.0
10083510,12.017000000000001
10083521,144.888
10083524,183.188
10083564,123.895
10083605,83.639
10083606,96.462
10083608,237.707
10083623,209.16400000000002
10083628,212.533
10083645,117.439
10083666,146.666
10083675,249.71200000000002
10089752,265.961
10089754,89.96
10089758,74.403
10089773,28.443
10089777,168.894
10089813,323.47900000000004
10089852,69.258
10089870,270.432
10089877,188.59400000000002
10089879,97.631
10089902,157.454
10089905,172.13400000000001
10093866,358.343
10093888,137.898
10093890,368.879
10093930,88.863
10093932,166.108
10093963,331.222
10093976,187.31099999999998
10093978,171.78599999999997
10093991,279.897
10094020,251.77700000000002
10094036,280.858
10094046,268.633
10094060,177.37099999999998
10118610,74.819
10118639,60.951
10118658,160.502
10118671,143.245
10118672,92.051
10118677,126.559
10118697,44.038999999999994
10118733,171.679
10118750,127.881
10118790,183.831
10118794,112220.219
10118816,258.0
10118817,647.2719999999999
10118824,353.86400000000003
10124024,247.477
10124033,151.388
10124049,86.271
10124058,222.19400000000002
10124070,139.634
10124105,161.702
10124113,97.304
10124151,295.54200000000003
10124179,146.028
10124206,212.27599999999998
10124232,225.433
10124265,128.217
10002462,18.421
10002490,44.676
10002493,217.423
10002494,66.65
10002496,137.944
10002517,56.443999999999996
10002543,58.861999999999995
10002556,163.495
10002567,137.107
10002597,97.51299999999999
10002610,132.637
10002625,48.684
10006494,82.476
10006542,36.463
10006548,177.4
10006553,106.69
10006576,274.539
10006579,201.24
10006581,135.914
10006588,284.813
10006627,70.705
10006641,90.838
10006672,63.668
10006675,174.99599999999998
10006714,35.844
10015821,199.81599999999997
10015873,117.664
10015937,239.511
10015939,124.681
10015945,126.76299999999999
10015980,66.387
10015984,77.639
10015987,291.532
10015990,107.97200000000001
10015999,163.422
10016032,27.804000000000002
10016060,27.621
10019824,145.525
10019854,149.084
10019913,89.774
10019928,252.347
10019948,180.34900000000002
10019950,76.514
10019961,175.03
10019971,120.743
10019976,212.606
10019983,283.672
10019987,268.23900000000003
