KOI,logAiso,E_logAiso,e_logAiso
K03057,9.32,0.34,0.52
K03060,9.6,0.11,0.05
K03065,9.22,0.36,0.4
K03075,10.12,0.02,0.03
K03083,9.4,0.17,0.18
K03086,9.91,0.16,0.33
K03087,9.36,0.22,0.53
K03093,9.85,0.06,0.09
K03096,10.06,0.02,0.03
K03097,9.8,0.04,0.11
K03100,9.57,0.07,0.04
K03109,9.29,0.06,0.04
K03111,9.75,0.11,0.14
K03114,9.29,0.06,0.04
K03117,9.45,0.28,0.51
K03122,9.28,0.05,0.03
K03125,9.69,0.07,0.08
K03128,9.61,0.03,0.04
K03130,9.95,0.15,0.32
K03132,9.18,0.04,0.06
K03146,9.93,0.04,0.05
K03165,9.66,0.03,0.14
K03167,9.33,0.27,0.2
K03168,9.96,0.03,0.03
K03180,9.35,0.05,0.1
K03184,9.64,0.07,0.06
K03194,9.36,0.04,0.05
K03195,9.7,0.02,0.02
K03196,9.65,0.08,0.09
K03197,9.21,0.24,0.38
K03201,10.1,0.03,0.05
K03202,9.76,0.03,0.02
K03203,9.42,0.04,0.04
K03215,9.24,0.27,0.14
K03218,9.45,0.2,0.35
K03220,9.36,0.05,0.05
K03224,9.26,0.21,0.6
K03225,9.13,0.28,0.53
K03227,9.75,0.09,0.11
K03232,9.35,0.22,0.4
K03233,9.7,0.16,0.23
K03234,9.52,0.08,0.05
K03236,9.47,0.05,0.09
K03237,8.67,0.51,0.28
K03239,9.2,0.21,0.36
K03240,9.31,0.06,0.05
K03244,9.14,0.14,0.13
K03245,9.8,0.06,0.07
K03246,9.25,0.33,0.64
K03248,9.98,0.07,0.08
K03249,9.71,0.08,0.09
K03251,9.79,0.08,0.08
K03254,9.8,0.11,0.14
K03277,9.64,0.03,0.03
K03278,9.45,0.26,0.47
K03283,9.47,0.42,0.56
K03287,9.99,0.05,0.06
K03288,9.26,0.25,0.48
K03301,9.75,0.05,0.15
K03308,9.88,0.04,0.04
K03310,9.23,0.34,0.46
K03315,10.13,0.01,0.02
K03338,9.7,0.09,0.11
K03340,9.71,0.05,0.07
K03346,9.82,0.08,0.1
K03358,10.02,0.09,0.14
K03363,10.04,0.05,0.06
K03371,10.11,0.02,0.04
K03378,10.11,0.02,0.05
K03382,10.03,0.07,0.11
K03384,9.72,0.08,0.09
K03403,9.76,0.03,0.03
K03419,9.78,0.03,0.03
K03421,9.41,0.04,0.05
K03422,9.24,0.22,0.39
K03425,9.53,0.09,0.08
K03436,9.37,0.36,0.52
K03438,9.79,0.09,0.11
K03451,9.36,0.21,0.33
K03456,10.14,0.01,0.01
K03465,9.24,0.41,0.59
K03473,8.77,0.42,0.37
K03497,10.13,0.01,0.03
K03500,9.46,0.1,0.04
K03503,10.06,0.04,0.04
K03541,9.72,0.03,0.04
K03608,10.05,0.05,0.06
K03641,9.66,0.07,0.1
K03663,9.7,0.17,0.24
K03678,9.5,0.22,0.29
K03680,9.04,0.37,0.49
K03681,9.37,0.11,0.11
K03683,9.5,0.04,0.05
K03689,9.77,0.07,0.08
K03780,9.57,0.05,0.12
K03787,9.27,0.31,0.5
K03791,9.7,0.03,0.04
K03801,9.59,0.22,0.38
K03811,10.08,0.03,0.03
K03823,8.82,0.57,0.4
K03835,9.06,0.43,0.67
K03853,9.87,0.14,0.14
K03864,9.22,0.25,0.5
K03867,9.35,0.31,0.52
K03871,9.88,0.18,0.39
K03876,8.87,0.29,0.4
K03880,9.25,0.12,0.13
K03889,9.83,0.08,0.09
K03890,9.8,0.18,0.19
K03891,9.97,0.06,0.05
K03892,9.62,0.17,0.24
K03907,9.41,0.06,0.07
K03908,9.84,0.02,0.02
K03913,9.54,0.13,0.2
K03925,9.07,0.39,0.57
K03928,9.63,0.08,0.1
K03936,8.79,0.59,0.39
K03943,9.66,0.09,0.06
K03946,9.66,0.05,0.13
K03980,9.88,0.07,0.09
K03991,9.14,0.35,0.52
K04002,9.16,0.41,0.53
K04004,9.27,0.35,0.41
K04005,9.64,0.21,0.33
K04011,9.72,0.08,0.09
K04014,9.44,0.19,0.3
K04018,9.19,0.4,0.52
K04022,9.72,0.03,0.03
K04024,9.98,0.11,0.19
K04032,10.09,0.03,0.05
K04036,9.5,0.39,0.7
K04037,9.53,0.1,0.13
K04053,9.5,0.19,0.27
K04054,9.11,0.4,0.49
K04060,9.83,0.07,0.09
K04062,9.71,0.08,0.07
K04066,9.41,0.06,0.21
K04067,9.39,0.2,0.34
K04070,9.56,0.34,0.54
K04072,9.8,0.08,0.09
K04103,10.11,0.02,0.04
K04109,9.25,0.33,0.77
K04121,10.06,0.06,0.14
K04123,9.37,0.07,0.05
K04129,9.37,0.36,0.56
K04136,9.82,0.03,0.03
K04144,9.13,0.31,0.39
K04146,8.74,0.44,0.34
K04156,9.72,0.11,0.06
K04157,9.42,0.13,0.16
K04159,9.9,0.15,0.25
K04160,9.0,0.26,0.22
K04188,8.99,0.37,0.42
K04198,9.78,0.03,0.03
K04199,9.65,0.31,0.45
K04204,9.78,0.08,0.09
K04212,9.38,0.13,0.19
K04215,10.12,0.02,0.02
K04222,10.08,0.04,0.05
K04226,9.56,0.13,0.05
K04230,10.08,0.03,0.03
K04235,9.51,0.06,0.07
K04245,9.46,0.12,0.05
K04246,8.97,0.19,0.29
K04251,9.69,0.18,0.25
K04257,9.61,0.02,0.02
K04269,9.67,0.12,0.09
K04276,9.29,0.07,0.03
K04288,9.79,0.07,0.08
K04292,10.11,0.03,0.05
K04296,10.13,0.01,0.02
K04298,9.86,0.04,0.04
K04301,9.74,0.09,0.1
K04302,9.82,0.05,0.06
K04304,9.96,0.05,0.05
K04312,10.12,0.02,0.03
K04318,9.16,0.21,0.17
K04323,9.6,0.12,0.05
K04329,9.46,0.08,0.04
K04335,10.1,0.03,0.05
K04356,9.2,0.54,0.56
K04366,9.72,0.27,0.52
K04367,9.75,0.06,0.08
K04368,9.59,0.02,0.02
K04374,9.87,0.15,0.24
K04382,9.7,0.07,0.07
K04383,9.11,0.33,0.58
K04385,9.84,0.21,0.41
K04399,9.27,0.27,0.31
K04400,9.84,0.11,0.13
K04407,9.57,0.08,0.07
K04409,9.64,0.1,0.13
K04411,9.71,0.11,0.14
K04421,9.74,0.07,0.07
K04423,9.65,0.03,0.13
K04426,9.51,0.11,0.04
K04430,9.53,0.33,0.51
K04431,9.57,0.11,0.06
K04435,9.42,0.04,0.04
K04441,9.55,0.35,0.48
K04443,9.52,0.06,0.05
K04446,10.11,0.02,0.03
K04452,10.08,0.03,0.03
K04457,9.86,0.06,0.07
K04469,9.4,0.39,0.48
K04473,9.66,0.03,0.03
K04480,9.75,0.11,0.15
K04482,9.49,0.11,0.14
K04505,9.78,0.07,0.07
K04546,9.89,0.06,0.07
K04556,9.82,0.02,0.02
K04557,9.87,0.04,0.05
K04561,9.67,0.04,0.11
K04567,9.51,0.11,0.05
K04575,9.41,0.11,0.04
K04580,9.9,0.03,0.03
K04581,9.81,0.08,0.1
K04582,10.01,0.08,0.11
K04585,9.71,0.04,0.05
K04588,9.63,0.03,0.03
K04601,9.36,0.06,0.24
K04603,9.42,0.05,0.14
K04605,9.59,0.04,0.14
K04613,9.61,0.25,0.6
K04614,9.64,0.08,0.08
K04617,9.95,0.05,0.05
K04633,9.68,0.1,0.06
K04637,9.63,0.03,0.14
K04640,9.45,0.04,0.04
K04647,9.62,0.03,0.02
K04651,9.43,0.25,0.39
K04653,9.67,0.08,0.07
K04657,10.08,0.04,0.08
K04659,9.66,0.19,0.33
K04663,9.8,0.02,0.02
K04665,10.06,0.03,0.04
K04674,9.87,0.08,0.09
K04686,9.75,0.03,0.14
K04693,10.12,0.02,0.02
K04699,9.52,0.11,0.15
K04715,9.65,0.03,0.04
K04716,9.7,0.08,0.07
K04717,9.97,0.11,0.18
K04725,9.84,0.21,0.63
K04744,9.82,0.08,0.09
K04745,9.67,0.32,0.48
K04763,9.83,0.03,0.03
K04765,9.45,0.1,0.16
K04771,9.58,0.09,0.08
K04773,9.65,0.03,0.03
K04774,9.71,0.24,0.48
K04775,9.81,0.02,0.02
K04792,9.08,0.31,0.45
K04811,9.83,0.03,0.03
K04822,9.91,0.03,0.03
K04829,9.82,0.07,0.07
K04833,9.97,0.04,0.04
K04834,9.68,0.03,0.02
K04839,9.77,0.06,0.08
K04841,9.72,0.3,0.49
K04850,9.68,0.19,0.31
K04864,9.7,0.02,0.02
K04887,9.65,0.02,0.02
K04892,9.71,0.03,0.03
K04898,10.02,0.05,0.05
K04907,9.78,0.08,0.09
K04961,9.61,0.31,0.51
K04978,9.17,0.32,0.55
K05018,9.21,0.35,0.48
K05021,9.59,0.23,0.4
K05039,9.43,0.42,0.59
K05048,9.45,0.13,0.11
K05057,9.33,0.12,0.11
K05084,9.93,0.05,0.06
K05085,9.22,0.38,0.52
K05107,9.27,0.14,0.13
K05119,9.05,0.13,0.11
K05124,9.5,0.33,0.52
K05135,10.13,0.01,0.02
K05155,10.0,0.07,0.08
K05159,9.07,0.28,0.4
K05198,9.53,0.3,0.47
K05216,9.65,0.22,0.37
K05236,9.57,0.13,0.2
K05241,9.83,0.04,0.04
K05247,9.7,0.1,0.07
K05269,9.0,0.41,0.51
K05278,10.08,0.05,0.11
K05284,9.78,0.09,0.08
K05290,9.38,0.32,0.41
K05324,9.58,0.16,0.14
K05375,9.29,0.14,0.11
K05379,9.35,0.12,0.09
K05380,9.94,0.13,0.25
K05393,9.65,0.18,0.17
K05423,9.71,0.1,0.13
K05546,9.03,0.29,0.41
K05567,9.77,0.05,0.05
K05592,9.64,0.08,0.09
K05612,10.07,0.05,0.11
K05613,9.61,0.24,0.36
K05622,9.79,0.23,0.42
K05626,9.75,0.1,0.14
K05645,9.45,0.34,0.55
K05689,9.84,0.22,0.45
K05702,8.9,0.35,0.44
K05706,9.86,0.08,0.11
K05782,9.39,0.09,0.07
K05790,9.55,0.35,0.53
K05798,9.42,0.4,0.56
K05837,9.73,0.15,0.24
K05850,9.95,0.09,0.13
K05852,10.0,0.04,0.04
K05855,9.3,0.3,0.44
K05877,9.15,0.39,0.51
K05888,9.49,0.35,0.43
K05900,9.48,0.06,0.07
K05929,10.11,0.03,0.05
K05949,10.02,0.07,0.09
K05953,9.65,0.29,0.47
K06102,9.33,0.02,0.02
